country_name,capital_name
Aruba,Oranjestad
Afghanistan,Kabul
Angola,Luanda
Albania,Tirana
Andorra,"Andorra la Vella"
"Netherlands Antilles",Willemstad
Argentina,"Buenos Aires"
Armenia,Yerevan
"Antigua and Barbuda","Saint John´s"
Austria,Wien
Azerbaijan,Bakı
Burundi,Bujumbura
"Burkina Faso",Ouagadougou
Bangladesh,Dhaka
Bulgaria,Sofija
Bahrain,al-Manama
Bahamas,Nassau
"Bosnia and Herzegovina",Sarajevo
Belarus,Minsk
Barbados,Bridgetown
Brunei,"Bandar Seri Begawan"
Bhutan,Thimphu
Botswana,Gaborone
"Central African Republic",Bangui
Chile,"Santiago de Chile"
"Congo, The Democratic Republic of the",Kinshasa
Congo,Brazzaville
"Cook Islands",Avarua
Colombia,"Santafé de Bogotá"
Comoros,Moroni
"Cape Verde",Praia
"Costa Rica","San José"
Cuba,"La Habana"
"Christmas Island","Flying Fish Cove"
"Cayman Islands","George Town"
Cyprus,Nicosia
"Czech Republic",Praha
Germany,Berlin
Djibouti,Djibouti
Dominica,Roseau
Denmark,København
"Dominican Republic","Santo Domingo de Guzmán"
Algeria,Alger
Egypt,Cairo
Eritrea,Asmara
"Western Sahara",El-Aaiún
Spain,Madrid
Estonia,Tallinn
Ethiopia,"Addis Abeba"
Finland,"Helsinki [Helsingfors]"
"Fiji Islands",Suva
"Falkland Islands",Stanley
France,Paris
"Faroe Islands",Tórshavn
Gabon,Libreville
"United Kingdom",London
Georgia,Tbilisi
Ghana,Accra
Gibraltar,Gibraltar
Guinea,Conakry
Guinea-Bissau,Bissau
"Equatorial Guinea",Malabo
Greece,Athenai
Grenada,"Saint George´s"
Greenland,Nuuk
Guatemala,"Ciudad de Guatemala"
"French Guiana",Cayenne
Guyana,Georgetown
Honduras,Tegucigalpa
Croatia,Zagreb
Haiti,Port-au-Prince
Hungary,Budapest
Indonesia,Jakarta
Ireland,Dublin
Iran,Teheran
Iraq,Baghdad
Iceland,Reykjavík
Israel,Jerusalem
Italy,Roma
Jordan,Amman
Japan,Tokyo
Kenya,Nairobi
Kyrgyzstan,Bishkek
Cambodia,"Phnom Penh"
"Saint Kitts and Nevis",Basseterre
"South Korea",Seoul
Laos,Vientiane
Lebanon,Beirut
Liberia,Monrovia
"Libyan Arab Jamahiriya",Tripoli
"Saint Lucia",Castries
"Sri Lanka",Colombo
Lesotho,Maseru
Lithuania,Vilnius
Luxembourg,"Luxembourg [Luxemburg/Lëtzebuerg]"
Latvia,Riga
Macao,Macao
Moldova,Chisinau
Madagascar,Antananarivo
Maldives,Male
Mexico,"Ciudad de México"
"Marshall Islands",Dalap-Uliga-Darrit
Macedonia,Skopje
Mali,Bamako
Myanmar,"Rangoon (Yangon)"
Mongolia,"Ulan Bator"
"Northern Mariana Islands",Garapan
Mozambique,Maputo
Mauritania,Nouakchott
Montserrat,Plymouth
Martinique,Fort-de-France
Mauritius,Port-Louis
Malaysia,"Kuala Lumpur"
Mayotte,Mamoutzou
Namibia,Windhoek
"New Caledonia",Nouméa
Niger,Niamey
"Norfolk Island",Kingston
Nicaragua,Managua
Niue,Alofi
Netherlands,Amsterdam
Norway,Oslo
Nepal,Kathmandu
Panama,"Ciudad de Panamá"
Pitcairn,Adamstown
Peru,Lima
Palau,Koror
"Papua New Guinea","Port Moresby"
Poland,Warszawa
"Puerto Rico","San Juan"
"North Korea",Pyongyang
Portugal,Lisboa
Paraguay,Asunción
Palestine,Gaza
Qatar,Doha
Réunion,Saint-Denis
Romania,Bucuresti
"Russian Federation",Moscow
Rwanda,Kigali
"Saudi Arabia",Riyadh
Singapore,Singapore
"Saint Helena",Jamestown
"Svalbard and Jan Mayen",Longyearbyen
"Solomon Islands",Honiara
"Sierra Leone",Freetown
"El Salvador","San Salvador"
Somalia,Mogadishu
"Saint Pierre and Miquelon",Saint-Pierre
"Sao Tome and Principe","São Tomé"
Suriname,Paramaribo
Slovakia,Bratislava
Slovenia,Ljubljana
Sweden,Stockholm
Swaziland,Mbabane
Seychelles,Victoria
Syria,Damascus
"Turks and Caicos Islands","Cockburn Town"
Chad,N´Djaména
Togo,Lomé
Thailand,Bangkok
Tajikistan,Dushanbe
Tokelau,Fakaofo
Turkmenistan,Ashgabat
"East Timor",Dili
Tonga,Nuku´alofa
Tunisia,Tunis
Tuvalu,Funafuti
Taiwan,Taipei
Uganda,Kampala
Ukraine,Kyiv
Uruguay,Montevideo
Uzbekistan,Toskent
"Holy See (Vatican City State)","Città del Vaticano"
"Saint Vincent and the Grenadines",Kingstown
Venezuela,Caracas
"Virgin Islands, British","Road Town"
"Virgin Islands, U.S.","Charlotte Amalie"
Vanuatu,Port-Vila
"Wallis and Futuna",Mata-Utu
Samoa,Apia
Yemen,Sanaa
Yugoslavia,Beograd
Zambia,Lusaka
Zimbabwe,Harare
